UniqueCount	AmbigCount
0	92
0	18
4	3433
3	5
0	41
0	10
0	0
0	10
0	10
0	0
0	0
0	0
0	0
0	0
11	176
0	13
1	23
0	43
0	17
0	111
83	180
10	544
2	209
0	57
162	136
0	55
0	280
0	39
0	0
0	0
0	18
49	3740
0	320
4	386
0	288
0	293
0	190
42	141
0	149
0	4
0	0
0	4
0	4
0	50
0	4
0	15
5	129
1	64
0	14
0	27
13	265
0	1308
0	1067
0	878
0	632
0	816
6	685
5	150
0	726
0	714
5	46
0	115
0	26
20	53
3	117
0	191
4	87
0	0
0	0
0	125
6	912
0	20
0	6
0	23
0	334
1	2330
5	75
0	16
0	13
0	311
0	17
0	0
0	26
0	158
0	13
0	30
0	4
0	0
125	26491
3503	77123
128	218915
0	14589
29	70056
11	2966
5666	103672
86	81474
0	0
0	124
166	4225
0	90
0	0
0	0
0	103
0	87
0	103
0	88
0	3
0	17
1	17
0	34
0	6
3	6
0	13
0	9
2	10
0	9
0	9
0	9
1	13
5	112
0	0
7	1
0	49
14	109
0	99
0	20
2	24
0	6
276	125
0	17
0	14
0	22
0	27
0	13
0	134
0	28
2	58
0	19
1	5
4	21
5	13
22	44
1	86
0	39
0	70
0	19
0	0
0	0
3	60
3	4
0	0
0	0
0	0
0	0
0	0
0	266
0	273
0	274
0	274
0	274
0	274
0	273
0	273
0	273
0	266
0	13
0	0
0	3
0	2
0	3
11	1025
8	2091
59	2026
0	0
0	387
16	93
70	443
0	443
44	154
19	146
16	37
11	299
10	298
1	280
1	21
0	120
7	134
0	131
0	134
1	0
0	9
0	6
0	8
2	4
0	7415
0	6412
15	8220
0	8220
0	642
8	0
12	1389
0	1389
12	3
0	47
7	87
6	47
0	22
1	54
0	145
75	425
0	59
24	367
6	182
0	367
69	40
9	279
0	223
77	31
2	36
1	384
0	317
0	365
0	360
70	335
11	395
0	362
0	125
2	281
0	165
0	121
0	119
0	33
0	33
0	32
0	19
0	12
1	17
3	8
10	20
0	0
0	0
0	0
0	0
2	0
4	44
0	44
0	3
0	3
0	2
0	0
0	0
1	0
0	233
18	326
10	174
1	200
31	457
52	460
0	150
0	4088
0	3953
0	3989
135	2380
11	2184
0	1605
0	956
0	753
0	753
8	6
3	3
3	8
1	8
1	2
14	4
0	1682
0	1686
0	1680
0	1321
0	1474
0	1248
0	1330
14	353
0	1264
6	1176
0	650
1	702
0	755
0	681
4	689
1	222
0	413
0	346
2	357
23	88
13	10
30	6
0	154
0	128
9	152
0	149
0	22
0	146
0	9
1	57
10	1264
36	1220
8	889
0	730
2	95
9	133
0	178
3	76
63	273
1	156
17	90
0	71
3	6
0	0
6	217
2	102
2	63
0	126
0	156
0	1653
0	2442
0	2442
0	1812
0	1748
0	2510
0	605
0	2200
0	1810
96	1762
2	1571
0	1767
0	2434
0	1945
0	1761
0	2284
0	2301
0	744
0	539
6	518
0	1929
0	524
0	914
0	854
0	608
0	757
0	1260
0	261
0	373
0	1047
0	816
2	652
0	881
0	797
0	793
0	138
1	115
0	514
0	729
0	680
6	544
0	637
0	609
0	541
0	481
0	504
0	472
0	209
0	182
0	36
0	0
16	0
6	366
428	431
7	121
36	0
0	1273
7	1286
0	994
0	414
0	412
14	210
2	84
8	173
0	0
0	37
0	56
0	65
0	59
4	64
0	20
0	13
2	24
0	4
4	4
0	1478
133	1445
2	1445
4	1452
8	393
0	80
0	0
127	1573
7	1695
6	1103
8	1958
0	2815
0	1991
0	1456
1	2382
0	2252
0	1175
2	1453
0	547
4	536
3	429
2	554
0	591
10	195
3	373
3	122
2	213
0	290
0	606
5	587
0	72
0	68
0	569
2	586
0	248
5	1366
1	636
82	1228
49	424
21	801
0	582
0	7
116	417
0	51
0	51
0	51
0	3
0	2
0	0
1	0
0	2
0	3
0	2
2	5
3	7
0	52
8	57
0	3
57	240
0	6
0	14
10	521
44	468
1	94
23	301
21	254
0	13
0	10
0	634
0	619
0	572
0	572
0	83
0	105
2	140
0	1
0	1
2	1
184	3740
3	2496
0	1699
339	1106
0	293
13	660
0	0
198	0
81	11
0	882
0	896
0	826
0	908
64	908
0	867
0	906
8	243
0	74
2	880
0	97
0	760
0	41
0	29
1	104
0	903
2	525
0	72
0	817
2	763
1	55
5	50
0	792
5	163
11	97
0	68
0	120
0	328
0	259
13	339
0	238
1	182
0	10
0	4
6	9
2	9
0	9
0	4
0	6
0	4
0	4
0	3
199	3045
0	3031
3	2644
0	2945
0	2801
2	2573
1	2573
1	2575
0	816
1	270
2	591
1	5123
6	5098
38	2089
18	773
146	123
25	74
0	10
0	2611
0	920
0	2307
0	2548
0	2454
0	2621
0	2513
0	2586
0	2632
0	2618
40	551
0	742
0	262
0	142
0	601
0	158
0	211
0	546
4	487
3	491
2	210
0	111
10	106
121	2824
5	19
0	528
13	17
0	75
0	585
0	597
148	3146
0	153
0	536
0	428
7	2300
0	2254
6	2169
2	1204
1	177
0	491
1	227
0	152
0	371
1	234
2	144
0	294
6	584
0	496
0	486
2	345
9	9
22	15633
2	14638
0	16185
36	2485
2	4549
10	3304
2	3934
1	2689
0	552
0	1247
2	0
0	0
0	0
0	2
0	2
0	1
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
8	37
0	0
0	0
7	90
2	0
1	17
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	163
0	3
0	0
0	0
0	0
0	0
0	0
2	404
0	52
0	16
0	15
0	15
1	14
0	375
2	33
0	332
0	44
0	69
0	52
0	68
0	55
0	78
0	78
0	56
0	38
0	33
0	66
0	29
0	349
0	65
1	269
0	278
0	40
12	68
43	7
7	5
0	606
2	949
6	798
0	842
0	595
112	806
0	583
0	746
1	733
8	785
6	694
0	563
0	602
0	3
0	0
0	0
3348	337
1	19
0	171
9	166
2	41
2	35
0	41
0	5
3	31
0	16
12	27
0	32
9	34
0	16
0	5
0	0
17	0
0	0
1	3
6	2214
0	780
0	2680
5	1319
17	167
1	1960
18	1121
155	1547
8	680
1	726
0	566
4	476
0	457
0	85
0	31
0	22
0	25
5	21
66	22
0	1106
0	1032
11	1032
0	1172
2	910
10	699
0	518
3	0
4	0
2	1141
0	1026
0	750
1	223
2	135
12	59
4	50
1	151
0	462
7	247
2	48
0	76
0	0
4	64
0	64
1	279
0	54
216	613
5	171
157	337
2	264
0	1308
1	1532
4	1670
0	1533
0	1516
0	2697
0	1872
6	1015
0	1076
462	1327
714	2930
0	2477
0	554
3	1148
12	68
10	570
9	44
17	0
1	169
0	197
0	1032
0	1022
0	1048
0	1024
0	90
0	63
0	260
0	1039
0	239
0	68
0	50
0	102
0	1023
0	53
2	973
0	78
0	82
0	35
0	35
0	2
1	2
0	0
0	0
0	0
0	2
79	4
0	2
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	1
0	1
0	1
0	1
0	0
0	1
0	0
2	17
0	0
0	0
1	7
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
22	190
0	218
2	28
1	161
0	17
0	22
1	11
0	0
7	0
98	850
3	849
58	683
19	684
166	298
2	480
0	232
0	162
0	76
0	352
0	273
3	104
0	145
0	127
0	57
0	133
0	131
0	42
0	40
0	49
0	45
0	137
0	23
0	12
0	47
0	25
0	0
0	0
0	168
0	41
0	473
0	410
0	494
0	898
0	356
0	16
0	583
0	17
0	589
7	686
0	749
0	703
0	375
0	511
0	466
0	468
0	518
0	623
0	516
0	98
0	278
0	64
0	461
0	432
3	120
0	395
0	60
0	1
7	57
0	1
0	1
5	34
0	33
1	33
0	24
1087	444
6	376
7	131
3	0
19	43
529	1085
0	51
0	171
4	179
0	173
1	140
2	532
1	70
0	220
2	71
4	214
0	20
0	502
0	507
2	496
2	495
1	501
2	500
0	499
0	493
