UniqueCount	AmbigCount
2	211
0	27
4	3202
7	6
0	26
0	4
0	0
0	6
0	6
0	0
0	0
0	0
0	0
0	0
9	184
0	21
2	17
0	49
0	25
0	118
72	125
16	414
3	142
0	52
149	117
0	50
1	244
0	32
0	0
0	0
0	29
63	3577
0	288
2	356
0	289
0	294
0	191
47	156
0	147
0	23
0	11
0	23
0	12
0	47
3	12
0	28
6	115
7	63
0	27
0	38
6	182
0	829
0	644
0	558
0	448
0	552
0	441
0	132
0	472
0	473
3	40
0	89
0	26
12	37
0	85
1	154
3	73
0	0
0	1
0	80
1	660
0	34
0	15
0	33
0	494
2	3405
1	87
0	30
1	28
0	29
0	0
0	29
1	149
0	28
0	41
0	13
0	7
99	34612
4959	104795
182	267114
0	15027
60	121591
18	4854
9409	153808
130	122960
0	0
0	76
99	3119
0	61
0	0
0	0
2	118
0	110
0	121
0	116
0	3
0	9
6	9
0	15
0	2
7	4
0	7
0	7
2	7
0	5
0	6
1	6
1	8
5	57
0	1
2	1
0	68
6	89
0	74
7	18
0	20
0	21
391	183
0	44
0	25
0	52
0	53
0	28
0	188
0	49
2	115
0	45
7	21
19	33
5	29
18	32
2	96
0	44
0	82
0	67
0	0
0	0
4	47
1	7
0	1
0	1
0	0
0	0
0	0
0	620
0	643
0	643
0	643
0	643
0	643
0	643
0	643
0	643
0	620
0	0
0	0
0	0
0	0
0	0
16	2434
47	5453
85	5186
1	1
0	1006
17	241
60	486
0	465
58	178
12	169
27	29
2	70
3	70
0	63
1	2
1	24
1	20
0	20
0	20
0	0
0	5
0	5
2	4
0	3
0	4178
0	3660
457	4177
0	643
3	0
8	651
0	651
3	5
0	21
1	50
0	23
1	10
5	42
0	70
15	196
0	38
11	153
1	96
0	152
44	18
2	120
0	101
36	15
0	1
3	697
2	591
0	645
0	641
106	624
23	718
0	643
0	234
9	534
0	294
0	177
0	177
0	56
1	59
0	44
0	28
0	18
4	29
2	11
0	0
0	0
0	0
0	0
0	0
2	54
0	54
0	1
0	1
0	1
0	0
0	0
0	0
0	355
19	532
17	308
2	335
94	1335
101	1335
1	440
4	4457
0	4325
0	4365
137	2403
5	2188
0	1752
0	1159
1214	0
4	1
2	0
0	4
0	2
2	5
24	12
3	2730
0	2735
0	2672
0	2008
0	2248
0	1888
0	2027
10	546
0	1940
4	1739
0	930
0	950
0	1178
0	1041
1	1036
0	315
0	647
2	600
7	603
24	177
1	5
7	2
1	102
0	90
5	101
0	99
1	20
0	93
0	4
0	34
21	2096
70	2035
11	1485
0	1228
4	143
5	187
2	284
2	100
114	460
1	202
47	136
0	123
1	18
0	0
11	709
10	387
2	244
0	460
9	474
0	2576
0	3862
0	3855
0	2761
0	2815
0	3980
0	960
0	3373
0	2765
200	2636
16	2457
0	2693
0	3844
0	2964
1	2713
0	3611
0	3641
0	1215
0	917
15	865
0	3071
0	884
0	1416
0	1290
0	928
0	1080
0	2017
0	372
3	514
0	1709
0	1255
3	992
0	1419
0	1324
0	1320
0	229
1	183
0	871
0	1266
0	1126
6	864
0	1071
3	1042
0	884
0	774
0	792
0	781
0	285
0	293
4	46
0	3
57	0
6	485
645	552
7	131
34	0
0	1265
2	1272
0	980
0	354
0	381
8	207
1	115
8	182
0	0
0	38
0	48
0	58
0	52
2	56
0	20
0	18
7	19
0	0
0	0
0	2473
296	2433
0	2440
2	2452
9	691
0	123
0	0
115	1833
10	1985
11	1302
6	2317
0	3161
0	2204
0	1688
1	2707
0	2478
0	1374
5	1753
0	659
1	590
4	487
2	591
0	724
18	211
2	484
13	145
3	268
0	322
0	713
11	669
0	92
0	84
0	644
2	684
0	326
6	3056
4	1439
145	2716
64	988
24	1785
4	1241
0	15
127	363
0	43
0	43
0	44
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	11
2	12
0	1
51	654
0	60
8	13
68	2664
124	2382
2	551
59	1445
107	1295
0	103
0	98
8	3789
0	3730
0	3452
1	3452
1	415
4	644
3	751
0	2
0	2
4	1
305	5044
8	3386
0	2269
685	1491
28	210
0	0
261	0
83	14
0	614
0	617
0	593
0	625
34	622
0	609
0	620
6	105
0	56
0	592
0	62
0	526
0	43
0	30
0	62
0	617
1	300
0	36
0	571
3	530
0	26
7	27
0	552
2	67
4	46
0	28
0	87
0	219
0	159
16	311
0	232
4	164
0	15
0	5
1	11
0	14
0	10
0	7
0	8
0	7
1	4
0	5
312	5740
0	5708
5	4887
0	5503
0	5209
1	4900
0	4896
1	4900
0	1453
0	227
4	723
1	5356
1	5329
16	2324
17	918
135	100
34	51
0	14
0	4631
0	1582
2	4133
0	4501
0	4310
0	4670
0	4411
0	4568
0	4656
0	4624
43	941
0	1243
0	408
0	206
0	995
0	253
0	305
0	933
4	797
1	706
11	275
1	165
5	159
109	4613
6	19
1	570
12	18
0	51
0	691
0	714
92	3051
0	142
0	619
0	476
12	3539
2	3437
4	3254
1	1820
5	262
3	798
3	399
0	280
0	628
5	428
2	254
0	482
15	960
0	862
2	843
4	614
5	1
49	24834
2	23166
0	25631
63	4497
0	7942
16	5403
5	6417
1	4422
1	905
0	1877
8	0
1	2
0	2
4	2
0	2
0	2
0	2
0	1
0	1
0	1
0	1
0	0
0	0
0	0
0	0
0	0
10	27
0	0
0	0
11	85
2	0
1	16
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	191
0	3
0	0
0	0
0	0
0	1
0	1
1	322
0	36
2	8
0	14
1	14
0	10
0	301
1	22
0	258
0	50
0	65
0	57
0	64
0	58
0	77
0	68
0	60
0	33
0	23
0	65
0	42
0	281
0	60
0	204
0	218
2	35
12	69
28	4
11	2
0	866
0	921
6	1104
0	1201
0	879
180	1147
0	916
0	1150
0	1084
12	1134
21	1042
0	868
0	934
1	2
0	0
0	0
4375	481
0	31
0	260
18	221
0	47
1	41
0	43
0	0
9	26
0	13
26	34
0	47
10	30
0	10
0	14
0	0
17	5
0	3
4	4
23	3362
0	1240
0	4059
13	2006
29	309
3	3049
23	1693
212	2296
9	964
2	1038
4	743
0	722
1	151
2	52
2	34
0	39
0	39
17	7
0	304
0	281
3	281
1	315
0	249
9	173
1	132
1	0
3	0
1	1507
0	1374
0	1075
4	258
4	135
4	74
5	81
1	245
1	590
9	276
2	44
0	87
0	0
0	37
0	37
0	415
1	78
323	652
4	244
249	503
4	264
0	1145
0	1381
10	1485
0	1380
3	1271
0	2438
0	1780
10	925
0	1036
453	1157
473	2809
0	2413
0	529
9	981
10	37
3	507
7	82
14	0
1	320
0	357
0	1675
0	1641
0	1685
0	1667
0	463
0	1676
0	436
0	125
0	100
1	193
0	1651
1	105
3	1546
0	157
0	157
0	58
0	58
0	2
0	3
0	2
0	0
0	0
0	0
39	4
0	4
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	2
0	0
0	2
0	2
0	2
0	2
0	0
0	2
0	1
3	10
0	0
0	0
4	7
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
16	170
0	198
2	27
2	149
0	24
0	26
0	8
0	0
2	0
75	785
0	784
68	1083
46	1086
190	450
1	736
0	375
0	242
0	126
0	562
0	409
3	144
0	97
0	91
0	40
0	93
0	91
0	29
0	27
0	34
0	30
0	91
0	17
0	6
0	28
0	20
0	0
0	0
0	37
0	499
145	781
2	24
4	644
9	522
8	93
0	286
0	87
0	81
0	4
7	51
0	0
0	0
0	4
0	3
1	4
0	3
1524	577
5	477
3	192
2	1
35	68
476	1286
0	65
1	178
5	181
0	145
0	153
1	723
1	120
0	321
3	121
10	337
0	41
0	557
0	562
1	542
2	551
0	555
0	556
0	553
0	546
0	127
8	54
1	147
6	1034
0	1058
56	1017
0	1
4	86
4	27
0	0
0	0
0	0
0	0
0	0
0	0
5	0
0	0
0	0
12	128
0	8
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
3	4
0	0
0	0
0	0
3	6
0	0
0	0
3	11
0	0
0	0
0	0
0	1
0	0
0	0
0	0
3	215
3	242
0	768
2	863
5	869
0	744
2	48
0	54
8	55
0	510
1	78
1	3142
1	23412
1	61
0	6704
2	990
33	649
0	23724
0	23629
0	5153
0	5468
574	6518
1	2214
0	23274
0	489
1	1626
20	22379
1	8775
11	92
213	3569
6	33
0	1
1	22
0	14
0	25
0	3
0	9313
4418	15255
127	15269
1	15087
6	13832
2	12785
0	9325
0	9309
5	0
49	40
2	24
24	525
45	54
30	490
0	23
4	8
0	91
6	66
1354	4379
0	143
57	4146
5	2061
11	45
19	37
0	0
31	0
0	4898
3	4705
0	4703
0	4705
0	4763
0	4763
0	5010
0	5014
0	2830
2	328
0	30
1	136
0	0
0	0
9	126
0	0
0	0
0	21
11	15
0	21
0	2
0	3
0	5
0	0
0	0
0	3
0	3
0	1
0	1
0	6
0	0
0	0
0	120
0	3
2	122
0	0
0	1
0	1289
234	1808
0	1490
0	1507
0	1426
0	1469
4	1229
3	1138
0	610
0	1057
0	800
0	620
0	937
1	838
5	145
2	786
0	603
0	390
0	495
0	204
0	149
0	151
0	151
0	152
0	151
0	151
1	84
0	103
0	111
0	111
0	111
0	75
0	0
759	451
3	195
9	105
1	47
0	69
0	0
1	4
0	0
0	0
0	0
0	0
3	155
6	137
5	428
0	137
22	282
13	202
0	173
0	69
0	1470
30	1570
0	356
0	235
0	300
2	206
715	240
0	240
31	300
5	14
1	275
2	1326
0	177
1	198
13	205
0	83
8	2033
0	1372
0	3370
0	2203
1	445
7	972
1	860
0	326
9	608
0	460
2	309
7	14
0	0
0	10
0	0
0	0
0	150
1	0
10	354
0	452
0	461
0	557
0	343
3	354
0	408
1	369
2	152
0	188
1	176
0	175
1	32
0	7
0	3
0	2
1	0
0	0
0	0
0	0
0	0
0	0
0	0
3	4
2	0
0	0
840	190
39	197
0	81
3	0
0	9
0	259
0	257
0	258
0	254
0	2
0	1
0	4
0	24
1	6
0	57
1	0
0	0
171	231
0	192
0	20
0	36
0	0
1	5633
51	3123
119	6646
1	6712
4	5052
17	3591
0	6472
0	5970
3	3747
2	4824
1	0
16	7
11	80
2	6
0	4
24	30
1	29
0	19
0	9
1	4
2	2145
0	0
0	0
0	0
0	0
0	1
0	0
0	20
0	20
0	13
0	6
0	0
4	7730
3	7410
0	354
0	1748
1	5759
22	5944
0	707
7	278
4	605
7	188
2	167
37	147
0	129
3	406
0	50
0	68
6	52
12	86
4	2
0	2
0	0
0	0
13	667
0	85
0	0
1	0
0	1
9	14
8	168299
92	141354
0	168148
0	153828
9	122686
3	54430
2	57720
0	49407
7	35253
0	39617
9	38439
8	29554
4	25309
1	24648
35	21432
54	21815
10	28
0	0
6	3
0	0
80	2172
0	26
0	0
0	7
0	25
11	31
1	25
0	17
0	19
0	0
2	0
20	56
0	2
0	6
0	6
0	6
0	7
0	6
0	6
0	4
0	2
0	0
172	260
0	6
0	11
141	26
0	2
0	3
0	0
0	0
0	4
1	10
1	6
958	2024
0	1938
1	1020
265	238
0	130
0	238
0	166
0	0
1	19
0	19
0	19
0	0
0	0
334	571
8	32
333	404
0	1212
5	1102
3	50
4	222
0	15140
0	15203
81	15695
7	93
0	9475
0	9544
8	528
12	986
16	0
0	0
16	0
0	10880
5	5054
214	9820
31	10879
1	647
0	0
0	60
0	0
171	599
11	579
0	447
0	200
0	21
34	281
245	780
0	752
12	679
0	91
8	2
2	107
70	309
0	191
1	35
2	15
3	0
0	0
0	0
0	46
5	6
0	2
116	3203
28	383
696	3022
0	78
1	399
0	440
4	346
0	187
7	962
0	267
0	0
2	0
2	0
116	955
0	1600
110	2169
10	927
0	1895
0	1878
0	1877
0	0
0	54
0	169
0	169
0	503
0	80
1	0
0	91
0	16
0	0
2	123
6	91
0	4
1	21
0	20
0	3
0	3076
28	128
2	1973
1100	7112
0	2240
0	2456
3	3083
0	788
2	3024
3	1473
1	34
0	250
0	155
2	419
4	173
0	55
17	502
1	37
8	342
0	291
1	292
2	11
1215	1281
1	577
134	755
0	103
10	157
1399	385
5	385
0	31
1	0
29	337
0	6
1	4
0	336
0	11
8	269
3	84
0	31
0	0
11	170
0	0
1	4
0	0
0	0
0	0
0	0
1	0
0	1994
26	9022
0	7510
0	3294
0	3163
2	4134
1	1276
7	2432
12	2697
1	2403
0	5492
0	3480
0	2152
0	3368
0	3092
0	2421
0	3543
3	883
0	2162
0	1910
0	1887
0	1418
0	1121
0	774
0	1530
0	2311
0	1770
0	925
0	395
0	1081
0	131
0	3559
0	1106
0	289
1	382
0	107
73	8
0	0
0	4
0	0
24	99
0	93
8	2249
1232	4328
3	1671
6	1078
3	1919
12	788
0	6578
0	6930
37	2962
0	221
0	956
0	1106
2	609
0	316
25	226
2	609
0	931
9	287
2	131
1	68
15	2522
2326	2825
1	495
0	536
1	393
16	304
2	106
0	21
0	22
0	0
0	0
0	0
0	0
0	11
1846	616
0	420
2	320
73	290
2	20
0	0
0	0
0	0
29	10
0	10
20	22
5	81
4	32
0	26
0	9
0	7
0	2
0	0
0	725
0	305
1	912
3	463
0	882
1	413
0	729
0	273
5	241
318	1415
17	555
1	1159
1	2042
0	2042
0	1740
0	1523
0	1408
3	1059
29	1121
33	875
9	398
19	171
2	384
0	261
0	257
17	26
0	335
2	418
0	357
0	431
0	283
0	297
0	272
0	314
0	159
3	127
1	123
0	18
0	123
0	108
0	86
0	98
0	101
0	18
0	1521
0	1441
0	1510
1	1295
0	604
0	497
2	570
0	464
0	482
0	363
0	163
1	123
0	127
0	119
19	74
0	58
0	93
0	52
8	6
0	1086
0	1096
10	111
0	438
0	96
1	93
1	111
2	36
15	61
17	25
0	3
0	4
0	22
0	22
0	5
0	2
0	0
0	40
0	2
0	0
253	2759
0	2754
39	2382
0	304
10	159
0	207
0	248
330	1101
3	125
0	280
0	132
4	624
5	4758
3	238
0	4994
0	202
5	472
8	373
0	2
5	797
294	1980
24	1816
0	1639
5	253
106	1170
2	877
3	0
1	0
0	0
0	2107
69	2115
0	1372
0	1403
0	1286
0	0
0	13
2	3
0	2188
0	17895
36	17087
3	1780
0	0
1	0
0	0
2	2418
0	2420
0	12
0	27
0	1925
0	810
2	751
1	275
0	118
0	79
0	984
0	966
0	539
0	31
0	65
0	66
0	480
0	68
0	111
0	52
0	1
8	0
1170	701
7	321
1	500
74	120
2	0
3	0
5	0
0	0
0	0
0	0
0	0
5	37
0	0
0	0
0	0
0	2
0	2
0	0
0	0
0	0
1	1324
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	57
0	0
0	0
0	0
0	0
0	483
0	0
0	0
0	0
0	0
0	57
0	0
0	2
0	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	17
0	17
0	17
0	17
0	7
0	0
0	0
0	0
0	7
0	0
0	0
0	0
0	0
0	0
0	0
4	60
2	207
0	3759
2	3401
1	345
0	110
0	73
1	3696
0	3656
0	76
0	90
0	198
0	80
3	84
0	0
0	20
2	26
0	20
0	19
0	48
0	12
0	48
0	19
0	0
0	0
0	0
0	0
6	7
0	3
0	4
0	4
0	1
0	4
0	4
0	4
0	0
0	0
0	0
0	0
0	20
0	2
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	18
0	0
0	0
0	18
0	44
0	0
0	0
0	0
4	6
0	0
12	82
5917	3976
2	3976
0	3
4	94
0	1
0	3
0	0
0	1
2	8
0	1
0	2
0	1
0	1
113	994
0	1015
5	839
1	964
0	368
0	667
0	545
1	454
0	315
0	229
0	155
3	217
3	723
0	739
0	743
11	258
4	186
0	42
0	27
2	46
0	56
0	0
0	0
725	80
11	49
0	3824
0	0
0	0
1762	1545
0	252
1	71
0	919
0	170
6	14
0	969
1	0
0	4506
38	4436
0	582
0	4361
3	1269
2	19
0	19
15	134
51	38
0	2
1	4
0	5
0	0
0	0
0	0
0	0
0	0
0	0
0	187
0	0
0	0
0	187
0	2
0	0
0	1
2	234
0	158
0	0
0	0
5	4295
13	2101
528	1552
61	17
8154	851
0	260
0	427
1	356
5	337
0	0
2	199
0	227
0	1268
0	1156
0	1257
2	413
28	90
0	166
0	152
33	166
0	144
1	371
0	339
8	177
0	274
1	217
0	0
0	0
0	0
0	0
4	22
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	1
0	0
0	1
0	1
0	1
2	6
0	0
0	0
0	0
0	0
11	11
0	11
1	0
0	0
0	0
0	0
0	0
0	0
0	15
0	227
9	226
0	82
0	50
7	33
0	32
1	9
6	11
0	11
43	25
0	25
0	216
977	608
3	406
0	406
6	243
2	775
0	14212
0	4871
145	13876
0	3167
2	1701
3	3439
0	4775
136	13587
2	3657
5	1751
0	0
0	3144
0	0
0	1
2	5
0	1
16	5914
0	2087
0	3044
52	277
12	5444
0	1650
0	989
0	4683
0	2791
46	5659
0	2044
15	599
25	35
33	136
1	75
0	78
11	58
2	6
1	4
0	47
16	0
0	60
0	5
0	1
0	0
0	22
29	4171
0	2294
0	2375
7	12
0	46
3	31
74	18
0	0
13	361
0	480
2	536
28	601
5	395
10	334
13	145
0	34
18	64
0	16
0	17
0	1395
0	7
0	1
1	0
2	4
0	16
2	114
255	663
0	442
0	282
0	163
0	47
156	165
0	84
8	39
4	38
6	61
2	168
7	95
0	0
0	5
0	50
0	69
0	74
4	12
0	3
0	0
0	0
0	0
0	0
1	6
0	1
0	0
1	4
0	1
0	0
0	67
0	62
0	68
4	2
2	0
0	0
1	0
0	0
0	0
0	0
0	0
0	67
0	2460
1	2262
0	2462
3	1174
0	848
1	460
6	546
0	252
0	784
1	119
1	282
0	554
0	335
0	330
3	265
55	3648
4	810
0	806
0	2667
0	2344
2	1883
1	1893
2	865
8	21
0	21
3	35
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	35
2	1
0	0
0	1
0	1
1	0
0	475
2979	7275
0	1578
12	5319
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	2
0	1
0	0
0	0
0	0
0	0
0	0
0	505
0	198
1	307
0	323
1	200
2	38
1	63
0	0
1	0
1136	503
0	197
0	407
9	344
1479	7857
9	751
11	2990
34	591
0	489
0	159
0	624
1	123
0	274
4	218
7	1016
8	1520
0	2914
0	259
0	78
5	2015
1	43
8	62
59	1912
12	684
0	1866
0	1727
2	318
2	291
0	246
1	477
7	260
0	214
3	166
0	102
2	61
2127	974
5	332
6	494
4	60
0	123
0	123
1	4
10	85
11	0
97	1303
0	1215
0	736
0	334
3	518
1	0
1	296
2	294
0	248
0	252
0	212
14	48
4	19788
0	21281
13	21120
10	15199
0	11570
308	5972
0	3686
0	4241
28	4411
0	0
0	0
1	0
2	1053
8	446
0	1251
2	151
4	415
0	1088
0	1025
11	774
2	36
0	901
0	698
0	164
0	245
0	173
0	669
0	153
0	669
13	669
0	163
0	669
0	141
0	669
0	225
0	669
0	783
0	730
0	181
6	594
0	0
3	917
2	700
0	467
0	40
0	369
3	284
2	112
0	133
0	0
0	0
430	126
0	15
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	0
0	0
0	0
0	0
0	0
0	2
4	10
0	1
0	0
0	0
0	3
2	3
12	28
0	1
0	0
11	0
93	0
0	0
0	0
0	0
0	3
0	3
0	3
2	77
0	1
0	1
0	0
0	0
0	0
2	4
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
9	0
0	0
1018	0
0	0
1	0
1	0
0	0
44	240
1	265
0	214
0	0
161	960
1	10541
0	10479
0	10538
1	1063
0	2467
12	1254
0	1
0	7
0	7
0	7
0	7
0	7
0	2
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
18	15067
346	12620
1	2934
11	1744
2	3214
0	5221
15	4189
4	2395
129	2361
35	2404
27	1561
0	644
1	1558
