UniqueCount	AmbigCount
0	27
0	6
5	3495
7	7
0	41
0	3
0	0
0	15
0	15
0	0
0	0
0	0
0	0
0	0
11	181
0	23
1	23
0	52
0	30
0	102
106	145
7	518
6	199
0	70
189	119
0	53
0	317
0	46
0	4
0	1
0	7
62	3865
0	198
0	288
0	231
0	238
0	131
53	157
0	103
0	6
0	1
0	6
0	5
0	35
0	1
0	26
5	149
5	81
0	27
0	44
26	251
0	1212
0	939
0	794
0	608
0	767
2	611
2	141
0	645
0	642
14	54
0	111
0	23
10	55
2	106
0	169
4	104
0	0
0	0
0	91
1	901
0	14
0	4
0	37
0	397
0	3131
1	73
1	8
0	6
0	28
0	0
0	28
0	199
0	27
0	45
0	1
0	1
145	31821
3772	88231
168	279164
0	18481
40	96443
13	3974
7609	132683
90	94951
0	0
0	98
159	4173
0	116
0	0
0	1
1	69
0	61
1	74
0	67
0	2
0	8
8	8
0	22
0	0
2	2
0	5
0	5
3	5
1	3
0	3
0	2
0	6
4	132
1	1
2	0
0	49
10	107
0	91
0	24
0	31
0	16
379	166
0	18
0	15
0	28
0	18
0	12
0	171
0	38
1	105
0	25
2	16
8	11
4	25
30	33
0	87
0	39
0	63
2	27
0	0
0	0
3	53
2	8
0	0
0	0
0	0
0	0
0	0
0	406
0	420
0	420
0	420
0	420
0	420
0	420
0	420
0	420
0	406
0	1
0	0
0	0
0	0
0	0
15	1638
17	3371
85	3273
6	1
0	571
14	148
75	634
0	632
60	234
26	215
42	45
35	829
13	849
2	762
0	89
1	311
30	410
0	402
2	410
0	0
0	5
0	5
0	5
0	3
0	20680
0	17782
2222	20674
0	708
4	0
10	881
0	881
1	8
0	43
5	52
4	33
1	17
3	52
0	87
54	272
0	49
15	170
3	118
0	170
49	7
1	135
0	94
44	6
7	1
0	473
2	411
0	441
0	437
69	437
18	482
0	439
1	154
7	359
0	193
0	113
0	121
0	37
1	42
0	30
0	14
0	10
1	13
0	7
0	0
0	0
0	0
0	0
0	0
0	73
0	72
0	1
0	1
0	0
0	0
0	0
0	1
1	147
12	228
6	124
0	121
17	258
25	258
1	98
3	4575
1	4387
0	4426
201	2545
17	2361
0	1828
0	1137
1082	0
6	4
1	4
0	6
0	2
0	1
15	7
1	2141
0	2147
0	2087
0	1632
0	1782
0	1482
0	1609
10	467
0	1549
0	1360
0	791
0	789
0	902
0	767
1	742
2	221
0	464
0	411
8	430
29	126
4	8
14	6
0	121
0	98
18	112
0	111
0	24
0	112
0	4
0	39
10	1784
66	1728
21	1253
0	960
4	118
1	137
1	199
4	74
148	361
2	192
39	138
0	121
5	19
0	0
6	260
6	148
1	96
0	171
8	179
0	1699
0	2508
0	2503
0	1802
0	1763
0	2575
0	604
0	2217
0	1802
140	1750
5	1609
1	1779
0	2498
0	1924
0	1751
0	2358
0	2375
0	799
0	583
14	552
0	2008
0	571
0	908
0	828
0	596
0	717
0	1292
0	258
2	357
0	1112
0	803
3	673
0	935
0	867
0	865
0	163
1	140
0	610
0	816
0	785
11	611
0	693
0	673
0	569
0	505
0	567
0	517
0	217
0	164
1	40
0	4
51	0
4	483
642	547
2	145
54	0
0	1397
5	1407
0	1111
2	398
0	427
7	192
2	88
12	185
0	0
0	57
1	77
0	82
1	71
0	82
0	23
0	20
9	31
0	4
6	4
0	1641
218	1607
1	1613
1	1617
15	414
1	94
0	0
140	2047
8	2257
9	1487
13	2569
1	3485
0	2493
0	1905
0	2995
0	2779
0	1474
1	1895
0	691
1	634
1	500
5	645
0	766
21	222
7	502
13	155
4	269
0	294
0	703
6	691
0	71
0	60
0	669
3	690
0	335
1	1922
2	957
140	1749
57	579
18	1061
0	735
0	8
88	489
0	72
0	72
0	70
0	1
0	0
0	0
0	0
1	4
1	1
0	4
0	3
0	2
0	35
2	36
0	0
85	238
0	13
2	12
21	803
44	709
5	161
18	435
36	371
0	29
0	23
3	1273
0	1254
0	1173
0	1173
0	125
2	206
4	272
0	2
0	2
1	1
228	4235
16	2874
0	1885
479	1231
24	261
0	0
371	0
106	12
1	849
0	850
0	804
0	859
140	882
0	833
0	872
6	122
0	81
2	829
0	89
0	729
0	55
0	32
1	96
0	852
4	487
0	54
0	785
10	743
4	53
8	36
0	755
6	129
9	75
0	69
1	150
0	333
0	250
27	384
0	260
13	204
0	20
1	7
3	18
3	20
0	16
0	13
0	14
0	8
1	6
1	5
283	4387
0	4355
4	3831
0	4201
0	4063
4	3819
0	3818
2	3816
0	1061
0	295
3	610
4	5764
3	5758
39	2329
21	793
40	46
11	57
0	20
0	3779
0	1395
4	3400
0	3702
0	3577
0	3860
0	3661
0	3783
0	3829
0	3797
46	857
0	1126
0	338
0	182
0	838
0	218
0	270
0	769
3	674
3	630
7	247
0	148
2	144
102	3845
7	14
1	572
12	14
0	63
0	654
0	678
167	3653
0	184
0	618
0	487
12	3976
3	3921
14	3797
6	1945
5	275
0	786
2	408
0	281
0	645
2	432
2	281
0	500
14	1036
0	847
7	845
10	604
17	25
18	16407
0	15314
0	16894
57	2825
2	4840
3	3245
1	3879
0	2696
0	536
0	1160
3	0
1	1
0	1
1	1
0	1
0	1
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
10	37
0	0
0	0
10	75
7	2
1	10
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	0
0	1
0	0
0	0
3	192
0	8
0	0
0	0
0	0
0	0
0	0
0	626
0	77
0	35
0	33
0	33
0	17
0	566
2	36
0	490
0	63
0	107
0	78
0	104
0	81
0	133
0	121
0	85
0	47
0	40
0	111
0	47
0	538
0	117
0	412
1	415
0	78
28	74
42	9
15	8
1	781
2	890
4	1088
0	1129
0	791
172	1062
0	782
0	1005
1	965
9	1015
12	930
0	773
0	829
0	1
0	0
0	0
5219	510
0	35
0	261
11	249
0	26
0	22
0	26
0	8
8	25
0	14
32	22
0	21
14	27
0	6
0	7
0	0
20	3
0	2
6	3
6	2999
0	996
0	3613
18	1731
21	222
0	2704
14	1456
172	2106
11	945
0	937
2	600
0	570
0	111
1	47
0	36
0	37
0	26
46	16
1	964
0	869
10	868
1	1014
0	772
20	610
0	432
3	0
4	0
2	1192
0	1077
0	804
0	190
4	106
9	57
2	73
0	169
0	487
7	253
4	53
0	93
0	0
2	92
0	92
0	400
2	62
316	800
9	241
234	491
10	329
0	1802
0	2177
12	2330
0	2171
1	2103
0	3914
0	2969
7	1388
0	1563
759	1833
887	4629
0	3955
0	914
3	1712
7	69
11	831
17	67
24	0
1	265
0	316
0	1443
0	1425
0	1456
0	1440
0	393
0	1450
0	362
0	87
0	70
0	158
0	1431
3	75
2	1356
0	99
0	104
0	47
0	47
0	7
0	7
0	0
0	0
0	0
0	0
58	3
0	2
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
4	16
0	0
0	0
1	11
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
13	260
0	298
2	26
4	234
0	26
0	33
0	17
0	0
5	0
123	1175
1	1172
67	893
32	901
219	399
3	601
0	308
0	222
0	121
0	420
1	331
2	148
0	128
0	114
0	65
0	122
0	115
0	53
0	46
0	61
0	57
0	124
0	34
0	13
0	57
1	31
0	0
0	0
0	40
0	535
149	854
0	28
