Approved Symbol	Approved Name	Previous Symbols	Synonyms	Entrez Gene ID	RefSeq IDs
A1BG	alpha-1-B glycoprotein			1	NM_130786
A1BG-AS1	A1BG antisense RNA 1	NCRNA00181, A1BGAS, A1BG-AS	FLJ23569	503538	NR_015380
A1CF	APOBEC1 complementation factor		ACF, ASP, ACF64, ACF65, APOBEC1CF	29974	NM_014576
A1S9T~withdrawn	symbol withdrawn, see UBA1				
A2M	alpha-2-macroglobulin		FWP007, S863-7, CPAMD5	2	NM_000014
A2M-AS1	A2M antisense RNA 1			144571	NR_026971
A2ML1	alpha-2-macroglobulin like 1	CPAMD9	FLJ25179, p170	144568	NM_144670
A2ML1-AS1	A2ML1 antisense RNA 1				
A2ML1-AS2	A2ML1 antisense RNA 2				
A2MP1	alpha-2-macroglobulin pseudogene 1	A2MP		3	NG_001067
A2MR~withdrawn	symbol withdrawn, see LRP1				
A2MRAP~withdrawn	symbol withdrawn, see LRPAP1				
A3GALT2	alpha 1,3-galactosyltransferase 2	A3GALT2P	IGBS3S, IGB3S	127550	NM_001080438
A4GALT	alpha 1,4-galactosyltransferase (P blood group)	P1	A14GALT, Gb3S, P(k)	53947	NM_017436
A4GNT	alpha-1,4-N-acetylglucosaminyltransferase		alpha4GnT	51146	NM_016161
A12M1~withdrawn	entry withdrawn				
A12M2~withdrawn	entry withdrawn				
A12M3~withdrawn	entry withdrawn				
A12M4~withdrawn	entry withdrawn				
AA~withdrawn	symbol withdrawn, see TEAD1				
AAAS	aladin WD repeat nucleoporin			8086	
AABT~withdrawn	entry withdrawn				
AAC1~withdrawn	symbol withdrawn, see NAT1				
AAC2~withdrawn	symbol withdrawn, see NAT2				
AACS	acetoacetyl-CoA synthetase		FLJ12389, SUR-5, ACSF1	65985	NM_023928
AACSP1	acetoacetyl-CoA synthetase pseudogene 1	AACSL		729522	NR_024035
AACT~withdrawn	symbol withdrawn, see SERPINA3				
AADAC	arylacetamide deacetylase		DAC, CES5A1	13	NM_001086
AADACL2	arylacetamide deacetylase like 2		MGC72001	344752	NM_207365
AADACL2-AS1	AADACL2 antisense RNA 1			101928142	
AADACL3	arylacetamide deacetylase like 3		OTTHUMG00000001887	126767	NM_001103170
AADACL4	arylacetamide deacetylase like 4		OTTHUMG00000001889	343066	NM_001013630
AADACP1	arylacetamide deacetylase pseudogene 1			201651	
AADAT	aminoadipate aminotransferase		KATII, KAT2, KYAT2	51166	NM_016228
AAGAB	alpha and gamma adaptin binding protein		FLJ11506, p34	79719	NM_024666
AAK1	AP2 associated kinase 1		KIAA1048, DKFZp686K16132	22848	NM_014911
AAMDC	adipogenesis associated Mth938 domain containing	C11orf67	PTD015, FLJ21035, CK067	28971	NM_024684
AAMP	angio associated migratory cell protein			14	NM_001087
AANAT	aralkylamine N-acetyltransferase		SNAT	15	NM_001088
AAR2	AAR2 splicing factor homolog	C20orf4	bA234K24.2	25980	NM_015511
AARD	alanine and arginine rich domain containing protein	C8orf85	LOC441376	441376	NM_001025357
AARS	alanyl-tRNA synthetase		CMT2N, AlaRS	16	NM_001605
AARS2	alanyl-tRNA synthetase 2, mitochondrial	AARSL	KIAA1270, bA444E17.1	57505	NM_020745
AARSD1	alanyl-tRNA synthetase domain containing 1		MGC2744	80755	NM_001261434
AARSP1	alanyl-tRNA synthetase pseudogene 1				
AASDH	aminoadipate-semialdehyde dehydrogenase		NRPS998, LYS2, ACSF4	132949	NM_181806
AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase		LYS5, CGI-80, AASD-PPT, ACPS	60496	NM_015423
AASS	aminoadipate-semialdehyde synthase		LORSDH, LKRSDH	10157	NM_005763
AATBC	apoptosis associated transcript in bladder cancer			284837	NR_026961
AATF	apoptosis antagonizing transcription factor		DED, CHE-1, CHE1, BFR2	26574	NM_012138
AATK	apoptosis associated tyrosine kinase		AATYK, KIAA0641, LMTK1, LMR1, AATYK1, PPP1R77	9625	NM_004920
AAVS1	adeno-associated virus integration site 1		AAV	17	
ABALON	apoptotic BCL2L1-antisense long non-coding RNA		INXS	103021294	NR_131907
ABAT	4-aminobutyrate aminotransferase		GABAT	18	NM_020686
ABC1~withdrawn	symbol withdrawn, see ABCA1				
ABC2~withdrawn	symbol withdrawn, see ABCA2				
ABC3~withdrawn	symbol withdrawn, see ABCA3				
ABC7~withdrawn	symbol withdrawn, see ABCB7				
ABC50~withdrawn	symbol withdrawn, see ABCF1				
ABCA1	ATP binding cassette subfamily A member 1	ABC1, HDLDT1	TGD	19	NM_005502
ABCA2	ATP binding cassette subfamily A member 2	ABC2		20	NM_001606
ABCA3	ATP binding cassette subfamily A member 3	ABC3	ABC-C, EST111653, LBM180	21	NM_001089
ABCA4	ATP binding cassette subfamily A member 4	STGD1, ABCR, RP19, STGD	FFM, ARMD2, CORD3	24	NM_000350
ABCA5	ATP binding cassette subfamily A member 5		EST90625	23461	NM_018672
ABCA6	ATP binding cassette subfamily A member 6		EST155051	23460	NM_080284
ABCA7	ATP binding cassette subfamily A member 7		ABCX	10347	NM_019112
ABCA8	ATP binding cassette subfamily A member 8		KIAA0822	10351	NM_007168
ABCA9	ATP binding cassette subfamily A member 9		EST640918	10350	NM_172386
ABCA9-AS1	ABCA9 antisense RNA 1				
ABCA10	ATP binding cassette subfamily A member 10		EST698739	10349	NM_080282
ABCA11P	ATP binding cassette subfamily A member 11, pseudogene	ABCA11	EST1133530, FLJ14297	79963	NR_002451.2
ABCA12	ATP binding cassette subfamily A member 12	ICR2B	DKFZP434G232, LI2	26154	NM_173076
ABCA13	ATP binding cassette subfamily A member 13		FLJ33876, FLJ33951	154664	NM_152701
ABCA17P	ATP binding cassette subfamily A member 17, pseudogene			650655	NR_003574
ABCB1	ATP binding cassette subfamily B member 1	PGY1, MDR1, CLCS	P-gp, CD243, GP170, ABC20	5243	NM_000927
ABCB2~withdrawn	symbol withdrawn, see TAP1				
ABCB3~withdrawn	symbol withdrawn, see TAP2				
ABCB4	ATP binding cassette subfamily B member 4	PGY3, MDR3	MDR2, PFIC-3, GBD1	5244	NM_000443
ABCB5	ATP binding cassette subfamily B member 5		EST422562, ABCB5beta, ABCB5alpha	340273	NM_178559
ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)		EST45597, umat, MTABC3	10058	NM_005689
ABCB7	ATP binding cassette subfamily B member 7	ABC7	EST140535, Atm1p, ASAT	22	NM_004299
ABCB8	ATP binding cassette subfamily B member 8		EST328128, M-ABC1, MABC1	11194	NM_007188
ABCB9	ATP binding cassette subfamily B member 9		EST122234	23457	NM_019624
ABCB10	ATP binding cassette subfamily B member 10		EST20237, M-ABC2, MTABC2	23456	NM_012089
ABCB10P1	ABCB10 pseudogene 1	ABCB10P, ABCB10P2	M-ABC2, MABC2	56476	NG_005041
ABCB10P2~withdrawn	symbol withdrawn, see ABCB10P1				
ABCB10P3	ABCB10 pseudogene 3			728248	NG_022122
ABCB10P4	ABCB10 pseudogene 4			100132289	NG_022102
ABCB11	ATP binding cassette subfamily B member 11	BSEP, PFIC2	ABC16, SPGP, PFIC-2, PGY4	8647	NM_003742
ABCC1	ATP binding cassette subfamily C member 1	MRP, MRP1	GS-X	4363	NM_004996
ABCC2	ATP binding cassette subfamily C member 2	CMOAT	DJS, MRP2, cMRP	1244	NM_000392
ABCC3	ATP binding cassette subfamily C member 3		MRP3, cMOAT2, EST90757, MLP2, MOAT-D	8714	NM_020038
ABCC4	ATP binding cassette subfamily C member 4		MRP4, EST170205, MOAT-B, MOATB	10257	NM_005845
ABCC5	ATP binding cassette subfamily C member 5		MRP5, SMRP, EST277145, MOAT-C	10057	NM_005688
ABCC5-AS1	ABCC5 antisense RNA 1				
ABCC6	ATP binding cassette subfamily C member 6	ARA, PXE	MRP6, EST349056, MLP1, URG7	368	
ABCC6P1	ATP binding cassette subfamily C member 6 pseudogene 1			653190	NR_003569
ABCC6P2	ATP binding cassette subfamily C member 6 pseudogene 2			730013	NR_023387
ABCC7~withdrawn	symbol withdrawn, see CFTR				
ABCC8	ATP binding cassette subfamily C member 8	SUR, HRINS	HI, PHHI, SUR1, MRP8, ABC36, HHF1, TNDM2	6833	NM_000352
ABCC9	ATP binding cassette subfamily C member 9		SUR2, CMD1O	10060	NM_005691
ABCC10	ATP binding cassette subfamily C member 10		EST182763, MRP7, SIMRP7	89845	NM_033450
ABCC11	ATP binding cassette subfamily C member 11		MRP8	85320	NM_032583
ABCC12	ATP binding cassette subfamily C member 12		MRP9	94160	NM_033226
ABCC13	ATP binding cassette subfamily C member 13 (pseudogene)		PRED6, C21orf73, ABCC13P	150000	
ABCD1	ATP binding cassette subfamily D member 1	ALD	AMN, ALDP, adrenoleukodystrophy	215	NM_000033
ABCD1P1	ATP binding cassette subfamily D member 1 pseudogene 1			23785	
ABCD1P2	ATP binding cassette subfamily D member 1 pseudogene 2		bA453N3.6	26983	
ABCD1P3	ATP binding cassette subfamily D member 1 pseudogene 3			26982	
ABCD1P4	ATP binding cassette subfamily D member 1 pseudogene 4			26957	
ABCD1P5	ATP binding cassette subfamily D member 1 pseudogene 5			642762	
ABCD2	ATP binding cassette subfamily D member 2	ALDL1	ALDR, ALDRP	225	NM_005164
ABCD3	ATP binding cassette subfamily D member 3	PXMP1	PMP70, ZWS2	5825	NM_002858
ABCD4	ATP binding cassette subfamily D member 4	PXMP1L	PMP69, P70R, EST352188	5826	NM_005050
ABCE1	ATP binding cassette subfamily E member 1	RNASEL1, RNASELI, RNS4I	RLI, OABP, RLI1	6059	NM_002940
ABCF1	ATP binding cassette subfamily F member 1	ABC50	EST123147	23	
ABCF1-DT	ABCF1 divergent transcript			107986587	
ABCF2	ATP binding cassette subfamily F member 2		EST133090, ABC28, M-ABC1, HUSSY-18	10061	NM_005692
ABCF2P1	ATP binding cassette subfamily F member 2 pseudogene 1			344653	
ABCF2P2	ATP binding cassette subfamily F member 2 pseudogene 2			100422059	
ABCF3	ATP binding cassette subfamily F member 3		EST201864	55324	NM_018358
ABCG1	ATP binding cassette subfamily G member 1		ABC8	9619	NM_207174
ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)		EST157481, MXR, BCRP, ABCP, CD338	9429	NM_004827
ABCG4	ATP binding cassette subfamily G member 4		WHITE2	64137	NM_022169
ABCG5	ATP binding cassette subfamily G member 5		STSL	64240	NM_022436
ABCG8	ATP binding cassette subfamily G member 8		GBD4	64241	NM_022437
ABCR~withdrawn	symbol withdrawn, see ABCA4				
ABHD1	abhydrolase domain containing 1		LABH1, FLJ36128	84696	NM_032604
ABHD2	abhydrolase domain containing 2		LABH2	11057	
ABHD3	abhydrolase domain containing 3		LABH3	171586	
ABHD4	abhydrolase domain containing 4		FLJ12816	63874	
ABHD5	abhydrolase domain containing 5		CGI-58, NCIE2	51099	NM_016006
ABHD6	abhydrolase domain containing 6			57406	NM_020676
