barcode	filename
US-10000512	WT_d6_don1
US-10000513	KD_d6_don1
US-10000514	none_d6_don1
US-10000515	WT_d9_don1
US-10000516	KD_d9_don1
US-10000517	none_d9_don1
US-10000551	WT_d12_don1
US-10000552	KD_d12_don1
US-10000553	none_d12_don1
US-10000554	WT_d6_don2
US-10000555	KD_d6_don2
US-10000556	none_d6_don2
US-10000557	WT_d9_don2
US-10000558	KD_d9_don2
US-10000559	none_d9_don2
US-10000560	WT_d12_don2
US-10000561	KD_d12_don2
US-10000562	none_d12_don2
US-10000563	WT_d6_don3
US-10000564	KD_d6_don3
US-10000565	none_d6_don3
US-10000566	WT_d9_don3
US-10000567	KD_d9_don3
US-10000568	none_d9_don3
US-10016551	WT_d33_don1
US-10016552	WT_d63_don1
US-10016553	WT_d33_don2
US-10016554	WT_d63_don2
US-10016555	Y664F_d9_don2
US-10016556	Y664F_d12_don2
US-10016557	Y664F_d9_don3
US-10016558	Y664F_d12_don3
