dataPath	sample
data/RNAseq_data2/CL100021371_L01_25.fq.gz	WT_D6_don4
data/RNAseq_data2/CL100021371_L01_26.fq.gz	KD_D6_don4
data/RNAseq_data2/CL100021371_L01_27.fq.gz	TrpM_D6_don4
data/RNAseq_data2/CL100021371_L01_28.fq.gz	KD_D9_don4
data/RNAseq_data2/CL100021371_L01_29.fq.gz	TrpM_D9_don4
data/RNAseq_data2/CL100021371_L01_30.fq.gz	WT_D6_don5
data/RNAseq_data2/CL100021371_L01_32.fq.gz	KD_D6_don5
data/RNAseq_data2/CL100021371_L01_33.fq.gz	TrpM_D6_don5
data/RNAseq_data2/CL100021371_L01_34.fq.gz	WT_D9_don5
data/RNAseq_data2/CL100021371_L01_35.fq.gz	KD_D9_don5
data/RNAseq_data2/CL100021371_L01_36.fq.gz	TrpM_D9_don5
data/RNAseq_data2/CL100021371_L01_37.fq.gz	WT_D6_don6
data/RNAseq_data2/CL100021371_L01_38.fq.gz	KD_D6_don6
data/RNAseq_data2/CL100021371_L01_39.fq.gz	TrpM_D6_don6
data/RNAseq_data2/CL100021371_L02_40.fq.gz	WT_D9_don6
data/RNAseq_data2/CL100021371_L02_41.fq.gz	KD_D9_don6
data/RNAseq_data2/CL100021371_L02_42.fq.gz	TrpM_D9_don6
