culture,timePoint,nSites,pval
pNA69_3,D47,33,0.0683166481275491
pNA119,D50,161,0.0760231952977249
pNA93,D56,83,0.178256473895017
pDCNA5,D40,293,0.188779885444629
pNA69_5,D47,24,0.239130434782608
pNA85_Y664F,D56,193,0.289963607682762
pNA85,D28,2051,0.335037285264364
pNA110,D61,58,0.361903976241544
pDWNA4,D50,154,0.390180889394054
pDCNA14,D83,5,0.4
pNA67_2_FW,D73,18,0.405228758169935
pNA77,D103,25,0.49
pNA93_Y664F,D56,120,0.491991141440977
pDCNA4,D21,4902,0.494164859389904
pNA82,D66,407,0.542390222827211
pDCNA37,D50,48,0.562345237761519
pNA92,D54,51,0.577885400228546
pNA92_Y664F,D28,5604,0.584843937870254
pNA83,D23,3804,0.587960490019745
pNA92,D28,1525,0.613905167574641
pDCNA39,D37,556,0.631170861132005
pNA72,D43,284,0.718012972801425
pNA93_Y664F,D28,2109,0.724317146353607
pDCNA35,D42,94,0.726771608476276
pNA85,D56,341,0.734434403088809
pNA92_Y664F,D54,226,0.741340964832244
pNA81,D50,292,0.744711460885442
pDCNA38,D43,331,0.751453489803033
pDCNA6,D50,321,0.7572589062115
pNA112,D40,113,0.761976553366942
pNA69_1,D66,23,1
pNA78,D69,100,1
pNA93,D70,17,1
pNA67_1_JP,D73,12,1
pNA92,D78,22,1
pNA109,D49,109,1
pNA80_1,D70,111,1
pNA80_2,D70,146,1
pNA85,D14,8531,1
pNA92,D12,2826,1
pNA93,D12,2265,1
pNA93,D28,1349,1
pNA85_Y664F,D14,24846,1
pNA85_Y664F,D28,8572,1
pNA93_Y664F,D12,5211,1
pNA92_Y664F,D12,8377,1
