UniqueCount	AmbigCount
0	173
0	18
4	5115
7	12
0	24
0	4
0	1
0	21
0	21
0	0
0	0
0	0
0	0
0	0
21	240
0	21
0	28
0	93
0	40
0	161
134	265
13	503
7	194
0	97
238	177
0	75
1	340
2	33
0	0
0	0
0	25
99	5372
0	386
0	480
0	362
0	367
0	224
45	185
0	180
0	15
0	6
0	16
0	10
0	61
1	6
0	34
5	164
10	100
0	33
0	61
12	221
0	1344
0	1042
0	924
0	708
0	869
5	712
2	181
0	775
0	744
12	73
0	141
0	33
21	56
2	107
0	230
5	111
0	0
0	0
0	159
1	883
0	35
0	22
0	42
0	558
0	3663
4	94
1	24
0	21
0	391
0	38
0	0
0	32
0	212
0	32
0	67
0	7
0	5
148	30682
3463	86583
171	320514
0	20367
59	111132
13	4632
7348	142157
119	114596
0	0
0	163
142	4359
0	103
0	0
0	0
1	115
3	104
1	116
0	102
0	4
0	11
5	11
0	35
0	0
5	2
0	4
0	7
2	7
0	6
0	6
0	5
0	9
3	122
0	5
2	2
0	62
17	108
0	97
6	24
0	36
0	18
426	243
0	45
0	42
0	57
0	55
0	35
0	262
0	67
1	149
0	52
4	18
25	34
4	26
34	41
3	109
0	55
0	84
0	44
0	0
0	0
2	58
2	3
0	0
0	0
0	0
0	0
0	0
0	404
0	425
0	425
0	425
0	425
0	425
0	425
0	425
0	425
0	404
0	2
0	0
0	0
0	0
0	0
11	1456
18	3097
82	3009
1	1
0	560
12	148
86	630
0	608
47	186
27	236
30	42
1	133
3	135
0	117
0	10
0	54
6	48
0	48
0	48
0	0
0	3
0	3
0	3
0	0
0	2013
0	1746
4	2220
0	2220
0	986
8	0
12	740
0	742
5	6
0	29
2	40
3	24
0	14
2	61
0	81
22	228
0	38
9	161
5	122
0	159
80	13
2	119
0	89
26	13
0	30
1	815
0	654
0	733
0	710
112	715
30	843
1	731
1	280
9	633
0	339
0	217
0	228
0	69
1	71
0	50
0	34
0	15
2	35
1	10
12	25
0	0
0	0
0	0
0	0
2	0
3	70
0	67
0	5
0	5
0	2
0	0
0	0
0	1
0	302
18	464
26	263
0	272
91	1334
146	1334
0	406
7	5086
0	4926
0	4966
157	2903
17	2659
0	2054
0	1204
0	1032
0	1032
0	9
1	3
3	7
1	8
0	3
14	9
1	2242
0	2246
0	2186
1	1657
0	1853
0	1560
0	1711
8	429
0	1621
2	1484
0	808
2	832
0	994
0	884
4	889
0	241
0	547
4	499
2	510
18	166
8	10
28	10
0	254
0	206
12	249
1	249
2	57
0	249
0	15
1	85
17	2283
83	2210
14	1597
0	1387
