UniqueCount	AmbigCount
1	11
0	1
15	1341
0	0
0	5
0	2
0	0
0	49
0	49
0	0
0	0
0	0
0	0
0	0
19	62
0	10
6	36
0	18
0	5
0	45
2	19
1	90
0	11
0	14
222	110
0	27
3	158
0	25
0	2
0	0
0	1
32	1670
0	101
4	145
0	128
0	119
0	52
43	66
0	17
0	0
0	0
0	0
0	2
0	45
1	0
0	9
1	28
1	18
0	9
0	9
34	5
0	78
0	52
0	70
0	56
0	57
1	38
1	39
0	57
0	51
12	25
0	31
2	17
1	17
0	31
0	89
2	28
0	0
2	6
0	3
0	108
0	13
0	1
0	13
0	4
0	12
6	61
0	8
0	3
1	30
0	11
0	0
0	30
0	21
0	9
0	10
0	0
0	0
1	182
33	428
11	15438
0	0
0	614
0	5
104	336
3	2918
0	0
0	3
117	710
0	26
1	0
0	0
4	126
6	120
7	136
0	144
0	6
0	8
13	8
0	10
0	1
12	2
0	4
0	9
2	10
1	8
0	12
0	9
1	11
3	36
4	4
4	4
0	10
38	27
0	27
0	0
0	5
0	13
260	80
3	52
0	41
0	55
0	21
0	20
0	102
0	55
1	35
1	37
1	13
4	2
0	16
35	23
5	14
0	1
0	9
0	1
0	0
0	0
1	38
2	10
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
30	841
94	2256
43	2146
1	0
0	565
11	69
80	279
5	270
14	75
14	112
21	10
6	68
5	69
0	55
1	6
2	11
0	0
0	0
0	0
0	0
0	2
0	2
0	1
0	0
0	2501
0	1632
21	3073
0	3073
0	2
12	0
7	355
0	355
4	0
0	16
2	10
2	11
0	1
10	27
0	21
5	84
0	11
3	35
7	34
0	35
10	4
1	24
0	17
7	0
5	13
7	333
0	286
0	336
0	315
31	267
19	352
0	330
0	60
1	237
0	111
0	86
0	96
3	40
3	40
2	34
0	20
0	13
5	13
6	6
8	32
0	0
0	0
0	0
0	0
1	0
7	46
1	43
0	1
0	1
0	0
0	0
0	0
0	0
1	427
63	702
34	337
3	375
242	1174
151	1176
0	179
14	2716
4	2508
0	2586
38	1390
7	1242
0	772
0	629
0	979
0	979
1	2
0	2
5	7
0	9
0	8
30	5
0	1280
0	1285
0	1188
5	725
1	803
0	635
1	660
6	157
0	566
8	439
0	139
0	190
3	255
0	195
2	220
1	16
0	81
5	91
6	127
22	16
3	0
7	0
0	64
0	45
6	60
0	60
2	9
0	60
0	0
0	15
28	1423
50	1317
17	956
0	881
2	25
8	176
0	214
3	33
60	287
5	149
35	60
0	78
5	0
0	0
36	498
6	211
15	151
0	303
13	283
1	2114
0	3126
0	3124
0	2427
0	1795
0	3212
0	887
2	2762
0	2429
53	2218
8	1683
0	2315
0	3101
0	2462
0	2094
0	2496
0	2648
0	831
0	505
6	487
0	1948
0	527
0	715
0	642
0	425
0	556
0	873
0	59
0	261
2	930
2	605
1	515
0	761
0	701
0	696
0	42
0	20
0	397
0	642
0	557
21	359
0	468
0	471
0	338
0	286
0	286
0	281
0	50
0	38
0	4
0	0
15	0
13	384
570	456
12	91
47	0
2	1213
19	1236
0	900
2	249
0	264
10	130
2	55
13	89
0	0
0	1
0	1
0	8
0	7
0	8
0	1
0	1
0	0
0	0
0	0
4	1418
393	1377
0	1382
18	1400
23	289
0	38
0	0
71	883
6	966
11	650
7	1205
2	1695
1	1045
0	805
2	1364
0	1207
0	595
1	866
0	255
3	210
3	150
8	209
0	465
57	57
5	234
17	20
14	81
8	268
0	738
43	777
0	80
0	62
0	722
14	751
0	270
69	1024
2	493
32	831
36	67
24	467
1	170
0	10
66	117
0	7
0	7
0	7
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	1
0	1
0	12
0	13
0	0
45	149
0	1
10	6
40	797
410	752
2	92
30	532
57	416
3	4
0	2
18	1216
0	1182
0	1121
1	1121
2	33
1	148
2	145
0	0
0	0
5	0
326	1707
12	1261
4	494
525	254
6	138
24	254
0	0
292	0
95	8
3	450
0	457
0	413
0	460
4	459
0	418
0	454
13	117
0	23
8	451
0	70
0	385
1	52
0	27
1	60
0	464
0	272
0	34
0	415
0	372
0	9
2	16
0	372
5	38
0	10
0	21
0	60
0	123
0	94
17	144
0	95
1	77
0	3
0	0
0	0
0	3
0	3
0	0
0	0
0	0
0	0
0	3
71	1080
0	1070
0	848
0	923
0	889
2	842
0	849
1	844
0	126
11	2
9	964
1	4422
9	4295
48	1626
17	912
2	15
0	0
0	0
0	660
0	375
4	472
0	517
0	464
0	532
0	480
0	527
0	536
0	528
35	64
1	119
0	40
0	5
0	85
0	17
0	24
2	59
1	64
16	54
8	13
0	8
3	5
185	715
5	3
15	21
1	0
0	0
0	931
0	983
202	1941
2	104
0	709
0	437
15	1929
1	1874
9	1730
8	1003
0	33
4	458
0	232
0	113
3	350
2	160
2	94
1	271
5	370
7	312
1	313
3	164
21	1
16	10134
0	9359
35	10378
84	1640
19	2781
2	1073
6	1433
1	835
0	31
0	201
20	0
0	0
0	0
0	0
0	0
0	8
0	9
0	2
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
13	40
0	0
0	0
12	54
3	2
7	11
0	1
0	1
0	1
0	1
0	1
0	1
0	0
0	1
0	1
0	1
0	0
0	1
0	1
0	1
4	107
0	17
0	0
0	0
0	0
0	0
0	0
5	158
0	23
0	10
0	7
3	7
0	2
0	143
6	12
0	108
0	13
0	23
0	13
0	23
0	13
2	20
0	24
0	16
0	11
0	8
0	17
0	1
0	128
2	18
0	79
0	99
5	9
20	57
4	0
2	0
5	207
5	488
3	359
1	404
0	268
90	454
0	248
0	420
7	390
13	449
3	326
0	226
0	336
1	0
0	1
0	0
2696	163
3	1
0	58
18	105
6	58
3	56
2	55
0	9
42	45
1	30
33	26
0	33
20	36
0	11
0	0
0	0
13	0
0	0
9	3
11	2313
0	626
1	2925
9	1190
7	188
1	2017
8	944
101	1431
0	418
18	345
0	307
7	350
0	308
