UniqueCount	AmbigCount
2	27
0	4
7	918
2	3
0	6
0	5
0	0
0	92
0	92
0	0
0	0
0	0
0	0
0	0
24	168
0	22
24	92
0	37
0	7
0	115
6	71
3	255
8	67
0	79
1127	365
0	91
23	389
6	47
0	28
0	0
0	5
21	1249
0	99
1	299
0	270
0	280
0	66
198	241
0	37
0	0
0	0
0	1
3	5
0	101
2	6
0	10
18	50
19	79
0	9
0	15
100	16
0	289
0	211
0	316
0	199
0	208
6	146
8	134
4	242
0	163
48	94
0	145
10	100
32	39
0	65
0	397
17	81
0	0
3	25
0	1
10	384
2	36
0	3
0	28
0	10
0	34
53	174
0	16
0	9
2	89
0	12
0	6
1	102
0	43
0	10
0	18
0	0
0	0
8	437
61	799
30	23781
10	0
4	3132
0	2
493	1454
8	6097
0	0
0	7
301	2142
0	72
1	11
0	0
1	111
11	86
2	150
0	138
0	7
0	26
19	26
0	34
0	4
49	9
0	31
0	14
1	16
2	14
0	20
0	17
1	41
6	72
6	8
9	9
0	43
41	16
0	16
0	0
0	5
0	26
206	86
0	43
2	31
0	49
0	35
0	22
0	103
0	52
0	36
0	42
6	26
10	15
5	13
39	12
13	57
0	15
0	37
0	1
0	0
0	0
5	87
7	15
0	0
0	0
0	0
0	0
0	0
0	19
0	18
0	19
0	19
0	19
0	19
0	18
0	18
0	18
0	19
0	15
1	0
0	3
1	0
1	2
56	765
80	1684
99	1599
0	0
0	451
26	76
62	222
5	212
15	62
23	77
16	10
16	223
22	240
1	212
0	25
7	41
0	0
0	0
0	0
0	0
0	4
0	4
9	4
0	3
1	2039
0	1168
13	2489
0	2489
0	7
6	0
19	571
0	571
0	0
1	19
0	22
3	19
4	8
17	59
0	44
19	133
0	8
24	152
6	66
0	150
18	7
1	86
3	90
54	0
19	40
2	133
0	116
0	129
0	127
36	116
19	144
1	127
0	31
4	90
5	40
0	29
0	30
3	10
1	11
0	10
0	7
0	7
1	7
21	3
21	103
0	0
0	0
0	0
0	0
0	0
7	142
2	141
0	0
0	0
0	0
0	0
0	0
0	0
4	135
30	198
8	88
2	96
20	102
10	102
0	27
8	1938
0	1823
0	1873
104	1070
3	979
0	591
5	423
0	761
0	761
2	5
0	2
0	8
0	5
1	4
36	9
0	980
0	988
0	928
3	582
2	670
0	521
0	573
24	123
0	513
12	406
0	139
0	172
0	282
0	216
6	217
6	19
0	145
20	127
21	146
50	15
12	14
11	6
0	97
0	61
10	88
1	89
1	8
0	88
0	3
0	13
15	404
29	386
1	284
0	244
3	12
0	42
0	67
1	11
32	92
4	56
22	44
0	27
5	0
0	0
20	209
0	98
3	38
0	121
17	116
2	966
0	1548
0	1541
0	1128
0	918
0	1587
0	360
0	1305
0	1138
76	1287
17	818
1	1087
0	1536
0	1167
0	973
0	1245
0	1345
1	437
