UniqueCount	AmbigCount
1	15
0	2
1	549
0	0
0	2
0	2
0	0
0	81
0	80
0	0
0	0
0	0
0	5
0	0
13	108
0	12
8	61
0	25
0	5
0	82
11	52
2	161
1	45
0	54
842	247
0	43
4	187
3	36
0	4
0	0
0	2
6	706
5	105
4	255
0	238
0	234
0	66
87	176
0	28
0	0
0	0
0	1
1	2
0	83
1	8
0	13
6	36
7	46
0	12
0	13
95	3
0	260
0	189
0	263
0	160
0	180
4	143
1	93
1	209
0	160
41	64
0	98
2	76
28	26
0	45
0	315
5	55
0	0
6	14
0	3
8	274
0	21
6	0
0	23
0	10
0	24
36	157
1	8
0	7
0	73
0	12
0	8
0	71
0	34
0	12
0	17
0	0
0	0
14	547
136	1313
33	30731
0	2
1	2233
0	10
626	2128
3	6052
0	0
0	3
195	1715
0	43
0	1
1	0
10	76
4	60
4	95
0	97
0	11
0	22
13	22
0	22
0	5
28	9
0	20
0	18
3	21
2	18
0	21
0	19
0	25
9	39
0	5
6	3
0	26
30	19
0	19
0	0
1	10
0	6
164	54
0	23
1	21
0	26
2	30
0	19
0	62
0	25
1	20
0	19
12	6
16	11
11	8
26	11
4	20
0	9
0	16
0	1
0	0
0	0
6	39
8	7
1	0
0	0
0	0
0	0
0	0
0	6
0	6
0	6
0	6
0	6
0	6
0	6
0	6
0	6
0	6
0	5
0	0
0	2
0	1
0	2
16	643
58	1528
79	1474
2	0
0	414
24	59
58	169
2	160
9	59
11	54
8	4
15	254
8	262
1	233
3	24
6	70
0	0
0	0
0	0
4	0
3	22
2	15
5	20
0	12
1	6124
0	3507
32	7410
0	7410
0	7
15	0
16	334
0	334
2	1
0	9
1	17
1	8
1	1
12	33
0	42
25	72
0	1
28	89
6	45
0	87
31	11
2	58
0	58
20	0
15	41
0	146
0	116
0	136
0	129
32	118
17	150
0	133
0	35
5	122
5	52
0	41
0	39
2	17
6	18
0	16
0	23
0	20
4	12
33	7
15	80
0	0
0	0
0	0
0	0
1	0
9	99
3	93
0	0
0	0
0	0
0	0
0	0
0	0
2	64
7	102
9	45
0	56
12	75
8	75
0	15
5	1500
0	1412
0	1438
42	744
3	661
0	500
2	343
0	450
0	450
1	13
1	13
2	15
0	2
3	3
25	3
6	735
0	731
2	717
0	423
0	509
0	412
0	422
11	79
0	378
7	322
0	93
0	107
0	191
0	141
6	174
1	14
0	88
4	96
13	106
42	9
6	12
4	7
0	57
0	48
5	57
0	56
0	7
0	55
0	0
1	17
24	380
36	356
8	288
0	247
7	8
1	37
1	59
2	10
44	58
0	30
27	24
0	10
1	0
0	0
10	161
1	67
1	41
0	97
7	87
1	711
0	1113
0	1106
0	815
0	674
0	1137
0	258
0	970
0	814
82	936
12	611
1	780
0	1095
0	824
0	712
0	889
0	962
0	327
0	232
4	180
1	766
0	224
0	310
0	251
3	191
0	190
0	348
0	20
2	85
0	395
0	263
1	209
0	309
0	298
0	301
0	26
0	16
0	164
0	282
2	261
15	186
0	200
1	186
0	127
0	109
0	123
0	108
0	34
0	26
3	7
0	0
17	0
6	135
278	155
13	31
14	0
0	687
17	680
0	489
1	132
0	146
6	73
3	44
8	44
0	0
