UniqueCount	AmbigCount
0	14
0	3
14	1062
0	2
0	7
0	10
0	0
0	152
0	152
0	0
0	0
0	0
0	0
0	0
26	194
0	33
15	135
2	36
0	12
0	133
17	98
0	121
1	32
0	48
916	417
0	68
8	303
6	74
0	9
0	0
0	3
21	1352
0	99
5	331
0	338
0	295
0	51
206	280
0	32
0	0
0	0
0	0
0	3
0	129
1	4
0	18
22	64
13	47
0	15
0	16
96	5
0	155
0	93
0	169
0	141
0	118
14	96
6	87
1	149
0	104
32	62
0	93
5	111
34	21
0	62
1	250
17	55
0	0
0	25
0	0
4	185
0	37
0	0
0	40
0	8
1	36
45	229
1	22
0	7
1	76
0	18
0	9
4	137
0	51
0	16
0	19
0	0
0	0
6	538
80	822
8	39341
3	0
0	916
0	0
270	738
3	4034
0	0
0	0
163	1408
0	48
3	1
0	0
12	226
17	178
21	319
0	303
0	18
0	63
74	63
0	83
1	13
61	15
0	52
0	38
6	39
5	32
0	35
4	31
1	57
22	179
8	4
6	2
0	36
69	17
0	17
0	0
0	10
0	23
260	94
0	52
1	43
0	56
0	57
0	23
0	121
0	77
5	41
0	49
6	23
7	39
12	23
33	42
10	43
0	11
0	37
0	0
0	0
0	0
12	113
12	23
0	0
0	0
0	0
0	0
0	0
0	2
0	2
0	2
0	2
0	2
0	2
0	2
0	2
0	2
0	2
0	0
0	0
0	0
0	0
0	0
60	1028
141	1982
117	1996
4	0
0	421
54	82
50	238
1	225
10	37
8	84
23	7
5	44
1	42
2	36
2	2
1	7
0	0
0	0
0	0
2	0
0	23
0	23
0	19
0	19
0	13821
0	9114
35	16401
0	16401
0	8
18	0
51	1928
0	1928
6	6
1	84
2	120
3	37
12	8
21	107
0	136
47	408
0	34
39	204
23	93
0	202
67	25
7	141
0	140
25	0
20	59
1	409
2	394
0	433
0	436
48	346
40	436
0	405
0	75
1	319
10	165
0	123
0	122
2	60
7	30
0	50
0	44
0	22
8	27
45	7
46	100
0	0
0	0
0	0
0	0
0	0
17	152
6	143
0	0
0	0
0	0
0	0
0	0
0	0
1	645
141	1014
56	458
5	512
515	2432
415	2428
0	442
9	2939
0	2739
0	2828
110	1669
21	1484
0	845
4	664
0	1006
0	1006
1	21
2	14
12	27
1	15
1	5
52	5
4	1184
0	1194
3	1078
1	668
0	765
0	568
0	598
20	155
0	524
5	425
0	96
0	177
0	259
0	201
4	217
5	19
0	128
14	124
46	138
87	14
16	8
11	4
0	77
0	52
7	76
0	76
2	1
1	77
0	0
3	21
27	1197
64	1134
6	840
0	770
6	25
2	116
6	151
5	20
88	266
4	132
38	79
0	70
5	3
0	0
26	449
5	187
6	119
1	264
38	235
0	1925
0	2725
0	2704
0	2120
0	1496
0	2760
1	857
0	2459
0	2126
200	2255
38	1655
3	2062
0	2708
0	2143
0	1894
0	2131
0	2310
0	825
1	538
21	532
0	1665
0	576
0	622
0	514
3	323
0	418
0	731
0	85
1	227
4	814
0	510
0	465
0	650
0	593
0	598
3	41
2	19
0	366
2	570
1	539
27	405
0	390
0	364
0	252
0	212
0	219
0	203
0	56
0	54
2	25
0	0
43	0
7	286
484	334
28	67
87	0
0	961
7	974
0	697
0	186
0	201
10	112
3	56
10	60
0	0
0	1
0	1
0	1
0	1
0	1
0	0
0	0
0	0
0	0
0	0
4	1399
246	1346
1	1355
31	1373
40	217
0	51
1	0
75	941
15	1016
61	745
12	1316
3	2012
1	1128
3	872
0	1503
0	1379
0	680
1	949
0	300
1	233
8	170
15	255
0	586
104	53
6	284
44	22
21	108
2	181
2	543
37	609
0	72
0	58
0	562
24	603
0	224
51	689
3	346
86	599
53	47
75	348
0	135
0	18
184	306
0	14
0	14
0	14
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	19
0	22
0	0
85	390
0	10
4	3
76	957
428	968
1	115
111	719
168	583
24	11
0	9
7	1376
0	1364
0	1273
3	1273
5	53
20	167
15	177
0	0
0	0
4	0
237	1544
145	1260
18	403
875	376
0	403
31	902
0	0
71	0
55	18
0	465
0	480
0	437
0	479
11	480
0	446
0	476
38	435
0	58
0	473
2	73
0	418
1	76
0	25
1	82
0	480
5	302
0	48
0	428
0	394
5	26
9	16
2	389
5	50
5	19
0	18
4	67
0	119
0	97
18	137
0	86
0	83
0	2
0	2
1	2
0	2
0	0
0	0
0	0
0	0
1	0
0	0
125	1199
0	1211
2	952
0	1037
0	995
25	938
3	967
5	943
0	183
5	3
4	749
1	3395
12	3293
36	1357
50	1020
11	45
0	0
0	2
0	788
4	423
7	581
0	632
0	580
0	649
0	576
0	639
0	642
0	654
53	105
1	151
1	94
0	24
1	153
0	42
0	53
0	107
4	120
8	52
7	25
10	9
2	6
263	1123
7	3
35	99
0	0
0	0
0	745
2	769
219	1696
0	174
0	534
0	359
21	1967
7	1919
42	1786
17	942
6	50
1	426
4	249
0	163
22	358
4	177
14	165
0	264
15	382
0	328
7	327
31	178
21	6
10	9629
0	8890
13	9840
273	1803
100	2966
0	1072
23	1404
11	839
3	99
2	240
11	0
2	1
0	1
5	1
0	1
0	4
0	4
0	0
0	4
0	0
0	0
0	0
0	0
0	0
0	0
0	0
65	153
0	0
0	0
31	184
23	3
34	27
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
34	347
0	94
0	0
0	0
0	0
0	0
0	0
4	116
0	23
0	5
1	8
1	8
1	6
1	92
2	11
0	77
0	22
0	25
0	23
1	25
0	24
0	30
0	25
3	23
0	17
0	13
0	17
0	8
0	80
0	18
0	52
0	56
9	29
95	199
1	0
4	0
2	224
6	1243
0	350
0	390
0	234
182	666
0	166
0	308
5	319
59	502
3	222
0	206
0	339
0	0
0	0
1	0
2067	119
51	2
3	53
19	66
6	52
2	46
6	51
0	12
36	95
1	64
36	25
0	27
51	106
0	13
0	5
0	0
17	1
0	1
33	11
7	2179
0	578
0	2585
10	938
34	158
1	1784
20	704
385	1228
14	488
23	255
0	249
2	259
0	241
0	105
1	44
5	23
2	38
5	29
76	9
2	558
0	539
16	539
1	559
4	466
6	293
0	244
0	0
2	0
2	1200
0	1111
0	898
22	242
31	67
30	62
11	34
6	166
0	236
24	111
23	8
1	56
2	0
0	37
0	37
2	140
0	39
188	137
4	77
119	163
3	40
0	801
0	972
62	970
0	972
12	886
22	2194
0	1624
3	551
0	626
192	824
343	2263
0	2078
0	260
6	699
12	6
12	356
25	20
11	0
0	113
0	113
0	452
1	425
0	468
0	448
0	84
0	52
0	154
0	463
0	139
0	61
0	40
0	72
0	430
0	40
5	375
0	5
0	7
0	2
0	2
0	1
0	1
0	0
0	0
0	0
0	0
102	13
0	3
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	1
0	3
0	3
0	3
0	1
0	0
0	1
0	0
46	123
0	0
0	0
16	25
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
5	111
0	137
1	6
5	123
0	8
0	13
1	6
0	0
0	0
28	383
1	383
98	619
51	631
215	164
10	315
0	110
0	68
0	43
0	238
1	210
6	77
0	51
0	45
0	17
0	47
0	45
0	8
0	6
0	15
0	11
0	49
0	4
0	2
0	11
0	7
0	0
0	0
0	142
0	42
0	564
0	363
0	604
4	972
1	296
0	64
0	729
0	15
0	695
7	789
0	828
0	776
0	456
0	565
0	576
3	579
0	576
3	734
0	591
0	72
1	159
3	45
0	394
0	369
87	190
0	362
5	37
0	0
24	146
0	0
0	0
0	0
0	0
2	0
6	0
1449	251
13	167
14	39
0	4
1	0
579	1381
0	74
3	171
24	136
1	67
14	84
7	533
0	53
0	242
5	61
8	288
0	51
0	730
0	744
10	747
12	725
1	735
4	728
0	719
0	708
0	41
6	25
0	37
31	877
7	885
77	854
6	3
15	185
16	124
0	0
0	0
3	0
0	0
0	0
0	0
17	14
0	0
0	0
87	386
0	1
0	3
0	3
0	3
0	3
0	0
2	0
0	0
0	0
0	0
0	0
0	3
13	17
0	0
0	0
0	0
9	54
0	0
0	0
100	110
0	21
0	0
0	0
0	0
11	43
0	0
0	0
1	0
7	120
10	135
0	458
4	524
1	546
0	437
3	21
1	41
35	20
0	320
15	44
0	1574
1	11916
45	6
8	3572
48	305
34	99
0	12221
0	12147
0	2621
0	2898
156	3503
27	756
47	11780
134	45
0	391
150	10976
2	3772
74	18
117	1041
6	18
0	1
0	26
0	3
0	16
0	0
0	1197
2221	3632
381	3645
0	3513
0	2462
1	2241
1	1206
0	1197
3	0
65	221
21	37
34	565
41	38
16	520
0	5
5	1
0	30
0	18
999	2354
0	28
43	2106
10	964
54	189
38	85
2	51
0	0
25	0
5	1234
16	1171
10	1169
9	1171
0	1185
3	1185
0	1263
1	1263
0	624
1	3
4	0
20	405
0	1
0	1
45	278
0	1
0	0
0	4
2	4
0	4
0	0
0	0
0	0
0	1
0	1
0	1
0	1
0	1
0	1
0	0
0	0
0	0
0	1
0	0
0	1
0	0
21	10
0	578
0	707
191	935
0	674
0	692
0	643
0	678
1	541
0	420
0	192
0	347
0	262
0	193
0	371
0	291
7	34
3	234
0	219
0	177
2	202
0	48
1	85
0	88
0	88
0	88
0	88
0	90
2	25
0	26
0	36
0	36
0	36
1	27
0	0
1652	1223
8	239
21	116
20	62
3	134
0	0
0	0
0	1
0	1
0	0
0	0
5	172
6	145
2	458
0	112
94	288
31	191
0	184
0	93
0	2092
92	2360
0	396
0	401
3	317
0	195
685	100
0	100
85	226
19	5
5	211
28	61
0	133
9	127
32	103
4	16
14	650
0	378
23	1135
1	784
0	121
17	265
0	220
4	66
22	173
9	115
2	78
35	105
0	0
0	54
0	0
0	0
18	393
2	0
22	72
0	106
3	98
1	172
1	66
4	99
0	107
6	95
3	44
4	52
0	53
0	47
40	12
0	10
1	6
0	1
0	0
0	0
0	0
1	0
0	0
0	0
0	0
26	3
14	0
1	0
464	69
50	91
8	21
26	0
0	5
0	140
0	132
0	140
0	135
1	3
0	3
0	0
0	11
10	0
2	0
1	0
0	0
321	470
0	206
1	14
0	32
0	0
2	1500
3	584
47	2185
14	2186
3	1482
41	869
7	2083
0	1747
15	1174
1	1360
0	0
53	31
100	259
34	41
0	9
41	44
2	32
0	25
0	16
52	40
0	46
0	0
0	0
0	0
0	0
3	1
0	0
0	16
0	16
0	14
0	3
0	0
34	4293
12	3561
0	131
8	1690
9	1944
25	2757
0	169
48	121
25	308
36	59
6	74
34	41
2	263
138	951
3	56
36	121
6	72
85	73
2	1
3	1
1	0
0	0
0	20
36	10
12	0
0	0
29	0
0	0
0	55940
2	56007
257	48130
0	51710
0	54224
49	37490
21	11006
13	11549
0	9650
1	7714
54	6077
86	4878
7	2985
0	2618
99	4846
257	5117
128	407
20	0
5	0
0	0
6	43
0	0
0	0
0	3
0	3
76	192
3	3
0	3
0	3
1	12
0	0
101	250
0	0
0	0
0	0
0	0
3	33
0	0
0	0
0	0
0	0
1	0
194	784
0	0
2	11
353	167
150	33
0	33
0	0
0	0
6	9
7	22
4	13
1202	2991
28	2551
1	1201
171	159
0	100
3	159
1	121
19	0
1	79
0	79
0	74
0	0
0	0
431	866
30	0
310	302
9	701
2	615
8	1
4	111
0	12881
0	13195
336	13579
66	41
0	8190
0	8528
42	305
83	741
10	0
0	0
18	0
4	4599
11	4386
12	1657
106	3896
6	4657
29	214
0	0
60	248
0	0
171	129
7	130
2	70
1	50
0	0
0	0
4	157
197	450
0	435
12	364
4	71
17	20
28	278
177	653
0	358
47	36
0	10
11	5
0	0
4	0
0	93
15	56
0	0
132	1308
21	155
198	1204
13	21
3	194
0	130
71	286
1	75
8	238
1	26
0	0
19	0
0	0
260	1396
0	1827
139	2491
23	1231
0	2219
2	2210
1	2204
23	1
8	67
3	116
9	116
0	417
7	41
26	0
0	209
0	33
1	10
12	286
57	242
3	84
4	247
0	242
0	5
0	823
24	13
9	358
626	2312
0	794
0	482
0	846
10	193
4	887
3	246
8	0
0	99
0	72
0	135
0	37
0	19
29	180
1	4
6	58
0	69
1	81
6	12
990	1316
1	185
77	302
48	113
58	13
499	157
7	157
8	8
14	1
82	213
0	4
3	8
17	201
0	5
7	162
7	46
0	24
0	0
2	0
0	0
25	45
0	1
0	1
0	1
0	1
0	0
0	764
180	3540
5	2277
0	1082
0	1184
1	1118
24	611
9	1027
35	1130
2	825
0	2194
0	1297
0	383
2	957
0	1085
0	1025
0	591
0	902
28	164
0	468
0	398
0	370
0	258
3	175
0	68
0	201
2	629
0	530
0	181
0	109
0	243
0	173
0	1348
1	140
0	60
1	87
0	97
0	1
0	0
7	28
0	1
59	135
0	114
24	409
373	872
4	221
18	134
0	443
22	159
0	2477
23	2636
71	1268
2	67
97	242
0	290
0	136
0	295
20	40
13	153
17	474
12	0
0	0
0	0
26	1805
3232	2093
7	239
8	263
4	205
102	288
28	59
0	1
0	1
0	0
0	0
0	0
0	0
0	0
771	410
1	299
22	88
97	58
0	0
0	0
0	0
0	0
25	11
0	11
0	0
31	40
47	241
14	55
6	12
0	1
0	1
0	0
0	0
0	369
0	139
0	662
6	194
0	651
0	156
0	387
0	219
7	124
271	773
20	253
1	493
4	1196
0	1196
0	794
0	724
0	667
6	470
33	544
26	449
27	159
111	784
0	269
0	167
0	161
11	1
0	210
0	312
1	249
1	343
0	170
0	232
0	160
0	193
0	69
8	72
0	0
41	92
0	0
0	0
0	0
0	0
0	0
28	78
2	2079
0	1794
0	2056
0	1476
0	632
0	578
0	662
2	649
0	490
0	514
15	346
0	141
1	119
1	199
0	172
49	58
0	258
0	28
30	0
0	837
0	877
37	303
9	493
12	430
3	160
3	150
2	183
43	42
6	27
0	0
0	5
0	0
0	0
0	0
0	0
0	0
0	9
2	89
0	95
0	34
8	3
366	2170
0	2143
61	2022
0	145
11	82
0	97
0	113
131	394
31	62
2	91
0	31
50	597
15	3244
11	68
9	3359
0	32
10	164
4	136
1	0
3	717
485	1662
48	1287
4	1278
26	175
30	771
8	500
0	0
1	0
0	0
0	1350
106	1383
0	882
1	875
0	759
0	0
0	0
44	11
0	0
0	1016
3	9209
13	8694
17	352
2	0
2	0
0	0
7	5053
0	5047
7	22
3	79
0	3523
0	1868
23	1662
76	666
10	104
10	87
0	1203
2	1180
0	551
4	24
1	45
2	45
12	494
13	34
3	66
3	24
0	17
19	0
606	258
14	42
14	234
28	18
3	0
2	0
1	0
0	0
0	0
5	0
0	0
55	160
10	0
0	0
0	0
0	5
0	5
0	0
0	0
0	0
0	18
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	0
0	0
0	0
0	0
0	8
0	0
0	0
0	0
0	0
0	2
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	5
0	0
0	0
0	0
0	0
0	0
4	0
0	0
0	0
0	100
0	100
0	100
0	100
0	12
0	0
0	0
0	0
0	12
0	0
0	0
0	0
0	0
0	0
0	0
2	43
0	176
0	3582
9	2916
3	420
3	78
0	52
4	3452
4	3354
84	41
0	67
31	193
0	48
58	32
1	7
0	17
34	37
0	10
0	7
0	13
0	7
0	13
0	7
0	0
0	0
0	0
0	0
16	13
0	0
0	0
0	3
0	2
0	0
3	3
0	2
0	3
0	0
0	0
0	0
0	0
0	87
0	5
0	10
0	1
0	6
0	6
0	0
0	5
0	1
2	1
0	0
0	1
0	0
0	0
0	76
0	0
0	0
0	76
5	74
0	0
0	0
0	0
26	77
0	0
158	491
1880	680
4	680
4	9
94	444
0	1
0	9
2	0
0	1
21	7
0	0
0	1
0	0
0	0
139	806
0	804
2	571
8	730
2	193
0	415
0	347
0	326
0	222
4	148
6	67
5	363
0	1125
0	1191
0	1174
42	431
22	226
0	22
3	17
3	62
0	203
10	0
3	0
588	173
32	283
4	1024
0	0
0	0
1462	1222
48	238
43	85
0	580
0	71
50	2
0	583
0	0
3	4150
26	4058
8	233
0	3894
8	970
0	0
0	0
0	0
148	198
2	11
3	4
5	0
0	2
0	2
0	0
0	0
0	0
0	0
0	615
0	0
0	0
0	615
0	0
0	0
0	0
14	713
0	419
0	0
0	0
1	224
68	725
3	11
116	79
5528	980
28	561
0	883
3	461
14	131
0	0
14	220
0	235
0	963
0	789
0	937
0	167
16	5
0	83
4	73
36	53
0	30
11	182
0	151
11	60
0	304
5	186
0	0
0	0
0	0
0	0
57	120
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	1
0	1
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
10	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	114
7	114
0	42
0	24
3	17
0	16
11	15
18	19
4	19
82	9
2	9
1	4
783	366
14	231
3	231
149	232
4	11
5	5708
2	1365
54	5653
0	550
37	78
20	591
0	1307
35	5611
48	832
0	18
0	0
28	31
0	0
0	0
10	26
0	6
28	3509
0	786
0	1401
68	17
2	3014
0	536
10	371
0	2765
0	1325
237	3388
8	858
41	181
302	106
124	277
3	79
2	92
86	116
2	10
0	6
115	20684
2	9
1	11
0	2
64	1
0	0
0	0
0	3
27	2294
0	1440
10	1449
5	7
3	184
91	161
200	30
1	0
15	388
0	654
37	763
125	940
190	673
57	653
73	303
0	62
31	32
0	31
0	1
0	156
0	1
0	0
0	0
2	22
0	31
36	130
176	540
0	427
0	257
0	130
0	23
145	120
0	88
1	65
48	78
4	38
1	79
8	53
5	1
0	3
4	41
0	41
2	41
0	44
0	10
0	0
0	0
3	0
0	0
0	0
0	2
0	0
0	0
0	2
0	0
0	0
0	2
0	2
0	2
0	0
0	0
0	4
0	4
0	4
0	0
0	0
0	0
0	0
0	1261
1	1097
0	1280
4	549
0	298
2	209
20	200
0	47
0	334
9	15
0	56
5	236
1	130
0	130
2	102
127	1475
6	238
5	238
0	925
1	816
5	567
5	556
21	258
6	4
0	4
13	132
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
14	184
24	4
0	0
0	4
0	4
0	0
0	0
3488	6305
0	1044
31	5263
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	2
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	303
0	94
0	171
0	187
4	81
2	15
0	28
0	0
5	0
1009	359
0	141
1	265
80	335
5503	17187
56	899
57	4388
193	610
9	419
20	120
2	924
26	188
5	479
30	119
223	1646
13	3446
0	8491
34	246
19	103
69	7090
0	34
20	0
173	2630
90	1244
5	2454
0	2030
38	328
8	157
0	92
1	345
15	88
1	260
28	122
2	135
8	75
755	311
2	20
22	129
40	10
0	14
0	14
53	60
17	6
0	0
163	643
0	577
2	288
2	139
4	256
5	2
5	420
9	413
1	374
0	390
0	135
17	19
117	3521
6	4223
16	3941
68	3256
0	2654
10	1168
5	641
7	683
72	694
2	19
0	187
1	541
8	114
1	587
52	9
1	1120
2	232
0	282
34	102
32	75
0	139
0	0
0	0
0	648
0	122
0	232
0	139
0	857
0	108
0	857
28	859
0	125
0	861
0	90
0	862
0	207
0	860
0	174
0	183
0	194
55	8
0	0
6	797
26	564
12	400
4	11
3	243
12	186
13	41
2	111
0	0
0	0
844	323
3	36
3	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	0
19	53
0	0
0	0
0	0
0	0
0	0
0	21
22	23
0	3
3	0
0	0
0	7
13	7
70	153
0	5
0	1
22	0
77	0
0	0
0	0
0	0
0	1
0	1
0	1
77	364
0	0
0	0
0	0
0	0
1	0
35	31
3	11
0	0
0	0
0	0
0	0
0	0
0	0
0	0
17	7
0	4
878	0
0	0
0	0
0	0
0	0
26	48
48	77
0	39
0	0
453	457
4	5355
0	5291
0	5353
5	175
3	793
49	514
0	1
0	1
0	1
0	1
0	1
0	0
0	0
0	0
5	23
0	0
1	3
0	2
0	3
0	0
0	0
0	0
0	0
0	0
50	8074
1001	6880
1	1295
50	492
1	1498
6	2850
6	2023
6	1118
491	1306
52	1352
56	449
